2MASS J1645-4521       ;Sco  ;16 45 44.6 -45 21 51 ;IR   ;EC?  ;    1.30;      ;       ;                                                       ;
Bica 152               ;Cyg  ;20 47 03.0 +44 54 29 ;IR   ;OC   ;    6.00;      ;       ;                                                       ;1st & 2nd generat., in bubble
Bica 153               ;Cyg  ;20 16 09.0 +50 14 15 ;Op   ;OCR  ;    2.00;      ;       ;                                                       ;
Bica 154               ;Cyg  ;21 11 58.0 +47 14 18 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;
Bica 155               ;Cyg  ;21 09 31.0 +48 13 35 ;Op   ;OC   ;    1.20;      ;       ;                                                       ;
Bica 156               ;Cyg  ;21 09 57.0 +48 16 16 ;IR   ;OC   ;    4.00;      ;       ;                                                       ;Winds
Bica 157               ;Cyg  ;21 08 40.0 +50 05 10 ;IR   ;OC   ;    1.50;      ;       ;                                                       ;
Bica 158               ;Cyg  ;21 17 22.0 +48 02 55 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;
Bica 164               ;Cyg  ;21 09 38.0 +50 13 30 ;IR   ;OC   ;    4.00;      ;       ;                                                       ;
Bica 166               ;Cyg  ;21 20 45.0 +51 53 30 ;IR   ;OC   ;    3.50;      ;       ;                                                       ;
Bica 179               ;Cas  ;22 58 31.0 +58 45 58 ;IR   ;OC   ;    0.30;      ;       ;                                                       ;
Bica 185               ;Cas  ;22 58 10.0 +58 43 16 ;IR   ;OC   ;    1.00;      ;       ;Bica 186                                               ;
Bica 187               ;Cas  ;22 58 34.0 +58 42 43 ;IR   ;OC   ;    0.50;      ;       ;                                                       ;Very close pair with Alessi J2258+5843
Bica 189               ;Cas  ;22 58 47.0 +58 45 00 ;IR   ;OC   ;    1.00;      ;       ;                                                       ;
Bica 190               ;Cas  ;22 58 47.0 +58 46 13 ;IR   ;OC   ;    0.60;      ;       ;                                                       ;
Bica 195               ;Cas  ;22 58 37.0 +58 55 58 ;IR   ;OC   ;    1.50;      ;       ;                                                       ;Related to Planck Cold Clump
Bica 197               ;Cas  ;22 59 43.0 +58 59 56 ;IR   ;OC   ;    0.90;      ;       ;                                                       ;Related to Planck Cold Clump
Bica 198               ;Cep  ;22 50 53.0 +61 46 06 ;IR   ;OC   ;   22.00;      ;       ;                                                       ;
Bica 20                ;Sgr  ;17 46 45.0 -28 08 47 ;IR   ;GC?  ;    1.40;      ;       ;                                                       ;In crowded field
Bica 21                ;Sgr  ;17 48 34.0 -28 02 32 ;IR   ;OC?  ;    0.80;      ;       ;                                                       ;
Bica 212               ;Cas  ;00 20 44.0 +61 58 10 ;IR   ;OC   ;    0.70;      ;       ;                                                       ;In pair
Bica 214               ;Cas  ;00 29 52.0 +57 41 24 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;
Bica 215               ;Cas  ;00 30 13.6 +64 26 51 ;Op   ;OC   ;    4.50;      ;       ;                                                       ;
Bica 221               ;Cas  ;02 29 27.0 +62 11 27 ;Op   ;OC   ;    6.00;      ;       ;                                                       ;
Bica 222               ;Cas  ;02 28 08.0 +61 30 38 ;IR   ;OC   ;    2.00;      ;       ;                                                       ;Near Camargo 744
Bica 227               ;Cas  ;02 57 34.0 +60 38 36 ;IR   ;OC   ;    2.30;      ;       ;                                                       ;In Sh2-199, IC 1848, winds
Bica 229               ;Cas  ;03 03 02.0 +60 28 19 ;IR   ;OC   ;    2.50;      ;       ;                                                       ;
Bica 230               ;Cas  ;03 14 48.0 +60 43 20 ;Op   ;OC   ;    2.40;      ;       ;                                                       ;Loose, dusty stellar core
Bica 231               ;Cas  ;03 11 15.0 +59 31 14 ;Op   ;OC   ;    9.00;      ;       ;                                                       ;In cavity, loose
Bica 237               ;Cam  ;03 29 40.0 +59 59 58 ;IR   ;OC   ;    1.00;      ;       ;                                                       ;
Bica 239               ;Cam  ;03 55 36.0 +53 48 37 ;IR   ;OC   ;    4.00;      ;       ;                                                       ;Long and loose
Bica 241               ;Per  ;04 22 47.0 +51 54 00 ;Op   ;OC   ;    2.00;      ;       ;                                                       ;
Bica 242               ;Per  ;04 35 27.0 +52 00 55 ;IR   ;OC   ;    3.00;      ;       ;                                                       ;In pair
Bica 246               ;Aur  ;05 04 06.0 +44 51 27 ;IR   ;OC   ;    2.00;      ;       ;                                                       ;
Bica 249               ;Aur  ;05 11 29.0 +36 20 24 ;Op   ;OC   ;    1.00;      ;       ;                                                       ;
Bica 256               ;Aur  ;05 14 16.0 +32 45 19 ;IR   ;OC   ;    2.00;      ;       ;                                                       ;2nd gen?
Bica 271               ;Tau  ;05 51 05.0 +25 45 36 ;Op   ;EC   ;    1.30;  1550;       ;                                                       ;Loose, in Koposov 58
Bica 274               ;Tau  ;05 57 22.0 +25 07 57 ;Op   ;OC?  ;    2.20;  2800;       ;                                                       ;Dubious
Bica 275               ;Tau  ;05 57 39.0 +25 03 03 ;Op   ;OC   ;    7.00;  3500;       ;                                                       ;
Bica 28                ;Sgr  ;17 54 16.0 -25 46 40 ;IR   ;OC?  ;    1.50;      ;       ;                                                       ;
Bica 281               ;Ori  ;06 09 01.0 +20 38 19 ;IR   ;OC?  ;    1.50;      ;       ;                                                       ;In shell
Bica 287               ;Ori  ;06 14 30.0 +17 42 45 ;IR   ;OC?  ;    2.00;      ;       ;                                                       ;
Bica 290               ;Ori  ;05 48 36.0 +08 23 35 ;Op   ;OC   ;    8.00;      ;       ;                                                       ;In shell
Bica 291               ;Mon  ;06 36 30.0 +10 49 06 ;Op   ;OC?  ;    7.00;  5200;       ;                                                       ;In shell, in LMR 150
Bica 292               ;Mon  ;06 32 35.0 +10 14 48 ;IR   ;OC   ;    3.50;      ;       ;                                                       ;Overdensity in Majaess 80
Bica 301               ;Ori  ;05 35 05.0 -04 43 51 ;IR   ;OC   ;    9.00;      ;       ;                                                       ;In NGC 1975, includes NGC 1973
Bica 306               ;Mon  ;06 38 22.0 +01 17 38 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;Not NGC 2262
Bica 308               ;Mon  ;06 35 48.0 +00 37 17 ;Op   ;OC   ;    4.00;      ;       ;                                                       ;
Bica 309               ;Mon  ;06 44 36.0 +01 07 49 ;Op   ;OC   ;    3.50;      ;       ;                                                       ;In shell
Bica 311               ;Mon  ;06 45 41.0 +00 22 28 ;IR   ;OC   ;    7.00;      ;       ;                                                       ;
Bica 315               ;Mon  ;06 07 49.0 -06 13 32 ;Op   ;OC?  ;   14.00;      ;       ;                                                       ;
Bica 318               ;Mon  ;06 11 48.0 -06 09 20 ;Op   ;OC   ;    4.00;      ;       ;                                                       ;Deeply embedded core
Bica 319               ;Mon  ;06 11 55.0 -06 28 43 ;Op   ;OC   ;    2.20;      ;       ;                                                       ;
Bica 322               ;Mon  ;06 15 22.0 -06 25 48 ;IR   ;OC   ;    8.00;      ;       ;                                                       ;
Bica 323               ;Mon  ;06 00 36.0 -09 52 48 ;IR   ;OC   ;    9.00;      ;       ;                                                       ;In Majaess 70, includes FSR 1109?
Bica 328               ;Mon  ;06 45 43.0 -07 17 29 ;Op   ;OC   ;    2.50;      ;       ;                                                       ;
Bica 334               ;Mon  ;07 01 07.0 -09 14 31 ;Op   ;OC   ;    2.00;      ;       ;                                                       ;In CMa R1
Bica 336               ;Mon  ;07 16 28.0 -09 25 20 ;IR   ;OC   ;    2.50;      ;       ;                                                       ;In triplet, loose
Bica 339               ;Mon  ;07 08 29.0 -10 32 43 ;IR   ;OC   ;    1.50;      ;       ;                                                       ;In CMa R1
Bica 340               ;Mon  ;07 08 57.0 -10 29 54 ;IR   ;OC   ;    1.50;      ;       ;                                                       ;Shell
Bica 350               ;Pup  ;07 30 30.0 -14 30 45 ;Op   ;OC   ;    1.00;      ;       ;                                                       ;
Bica 351               ;Pup  ;07 33 57.0 -14 04 00 ;Op   ;OC?  ;    8.00;      ;       ;                                                       ;
Bica 353               ;Pup  ;07 31 23.0 -14 42 26 ;IR   ;OC   ;    0.80;      ;       ;                                                       ;In pair
Bica 362               ;CMa  ;07 10 11.0 -18 29 06 ;IR   ;EC   ;    2.00;  2820;       ;                                                       ;Shock induced
Bica 364               ;Pup  ;07 32 01.0 -15 48 43 ;IR   ;OC   ;    1.10;      ;       ;                                                       ;
Bica 365               ;CMa  ;07 19 32.7 -17 50 21 ;IR   ;EC   ;    4.00;  2520;       ;                                                       ;In Sh2-226, outer arm
Bica 368               ;Pup  ;07 32 03.0 -17 14 13 ;IR   ;OC   ;    2.00;      ;       ;                                                       ;
Bica 371               ;Pup  ;07 30 17.0 -19 10 25 ;IR   ;OC   ;    4.00;      ;       ;                                                       ;In pair
Bica 373               ;Pup  ;07 31 09.0 -19 15 29 ;IR   ;OC   ;    1.00;      ;       ;                                                       ;
Bica 375               ;Pup  ;07 31 41.0 -19 16 34 ;IR   ;OC   ;    1.80;      ;       ;                                                       ;
Bica 386               ;Pup  ;07 36 27.0 -32 29 09 ;Op   ;OC?  ;    2.70;      ;       ;                                                       ;Core
Bica 391               ;Vel  ;08 44 11.0 -41 16 17 ;IR   ;OC   ;    4.00;      ;       ;                                                       ;Bow shock
Bica 397               ;Vel  ;08 45 39.0 -43 55 02 ;IR   ;OC   ;    1.00;      ;       ;                                                       ;
Bica 402               ;Vel  ;08 40 54.0 -48 13 31 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;Bubble, wind
Bica 406               ;Vel  ;09 22 03.0 -51 56 36 ;IR   ;OC   ;    2.00;      ;       ;                                                       ;
Bica 412               ;Car  ;10 17 01.0 -57 55 07 ;Op   ;OC   ;    4.00;      ;       ;                                                       ;
Bica 414               ;Car  ;10 20 15.0 -58 03 18 ;IR   ;OC   ;    0.80;      ;       ;                                                       ;In pair
Bica 415               ;Car  ;10 20 06.0 -58 06 14 ;IR   ;OC   ;    1.00;      ;       ;                                                       ;
Bica 416               ;Car  ;10 20 15.0 -58 05 16 ;IR   ;OC   ;    0.90;      ;       ;                                                       ;
Bica 418               ;Car  ;10 24 09.0 -57 46 42 ;IR   ;OC   ;    4.00;      ;       ;                                                       ;2nd gen of Westerlund 2?
Bica 423               ;Car  ;10 38 32.0 -58 19 11 ;IR   ;OC   ;    1.10;      ;       ;                                                       ;
Bica 425               ;Car  ;10 31 36.5 -58 05 00 ;IR   ;OC   ;    1.20;      ;       ;                                                       ;
Bica 429               ;Car  ;10 36 39.0 -58 20 07 ;Op   ;OC   ;    0.70;      ;       ;                                                       ;
Bica 430               ;Car  ;10 33 39.0 -59 01 23 ;Op   ;OC   ;    2.50;      ;       ;                                                       ;In shell
Bica 431               ;Car  ;10 36 49.0 -58 20 30 ;IR   ;OC   ;    0.70;      ;       ;                                                       ;
Bica 439               ;Car  ;10 41 19.0 -60 05 48 ;Op   ;OC   ;    3.50;      ;       ;                                                       ;N shell
Bica 44                ;Sgr  ;18 11 55.0 -17 29 57 ;IR   ;OC   ;    0.70;      ;       ;                                                       ;In pair, bright * near edge
Bica 440               ;Car  ;10 42 53.0 -60 12 21 ;Op   ;OC   ;    8.00;      ;       ;                                                       ;In Eta Car Nebula, incl. CGR 6
Bica 441               ;Car  ;11 13 13.0 -58 49 15 ;Op   ;OC   ;    3.00;      ;       ;                                                       ;In cometary nebula
Bica 442               ;Car  ;11 09 53.0 -60 10 11 ;IR   ;OC?  ;    4.00;      ;       ;                                                       ;Turbulent?
Bica 443               ;Car  ;11 09 03.0 -60 32 57 ;Op   ;OC   ;    2.70;      ;       ;                                                       ;In bubble
Bica 444               ;Car  ;11 05 59.0 -61 34 22 ;Op   ;OC   ;    2.50;      ;       ;                                                       ;
Bica 447               ;Cen  ;11 28 57.0 -63 06 06 ;Op   ;OC   ;    2.00;      ;       ;                                                       ;
Bica 450               ;Cen  ;11 31 46.0 -63 14 16 ;IR   ;OC   ;    6.00;      ;       ;                                                       ;Dusty core, winds
Bica 454               ;Cen  ;11 34 03.0 -63 11 54 ;IR   ;OC   ;    3.00;      ;       ;                                                       ;
Bica 455               ;Cen  ;11 37 47.0 -62 10 41 ;IR   ;OC   ;    1.40;      ;       ;                                                       ;
Bica 457               ;Cen  ;11 34 33.0 -63 58 01 ;IR   ;OC   ;    0.50;      ;       ;                                                       ;
Bica 458               ;Cen  ;11 39 49.0 -62 09 30 ;IR   ;OC   ;    3.00;      ;       ;                                                       ;In Loden 442, dusty core
Bica 459               ;Cen  ;11 38 18.0 -63 20 49 ;IR   ;OC   ;    1.50;      ;       ;                                                       ;Alessi: inside a globule
Bica 460               ;Cen  ;11 37 50.0 -63 43 08 ;IR   ;OC   ;    1.00;      ;       ;                                                       ;
Bica 461               ;Cen  ;11 39 41.0 -63 27 16 ;IR   ;OC   ;    0.90;      ;       ;                                                       ;
Bica 48                ;Sct  ;18 25 40.0 -14 45 18 ;IR   ;EC   ;    3.20;  1800;       ;                                                       ;Dusty core, dist from Peri+ 2015
Bica 484               ;Cen  ;13 24 07.0 -63 15 32 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;
Bica 488               ;Cen  ;13 36 33.0 -62 49 07 ;IR   ;OC   ;    0.50;  5250;       ;                                                       ;Attached to LMR 185
